account_scope,period_years,horizon_days,ticker,name,asset_type,account,currency,quantity,current_local_price,current_fx,fx_method,cost_fx_method,current_value,invested_cost,current_pnl,future_value_p10,future_value_p50,future_value_mean,future_value_p90,expected_pnl,contribution_to_change,hold_assumption,forecast_status,forecast_available,valuation_method,warning
전체,5,60,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,15851780.240251735,20482006.90178103,20947951.959969353,26582428.744483467,9668574.90178103,1672006.90178103,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,60,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,275660986.75031316,326615688.9993237,329685268.49404716,388317959.7588727,284677391.4393237,211255519.50042295,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,60,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,7785385.085729703,28760720.157319576,27727072.250065606,36310518.4129778,2757276.9573195763,-1332536.5155577362,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,5,60,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,10,10,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,37696771.520054705,44898601.95733173,45125611.87508708,52893464.892608605,26223587.957331732,1398601.957331732,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,10,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16544822.110029519,18823706.93190881,18907314.831803203,21375100.42950063,8010274.931908809,13706.931908808649,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,10,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,98606752.43332623,120433547.53122643,125066825.18621899,157380806.60371608,78495249.97122642,5073378.032325655,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,10,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,25329921.25565679,29900470.607181326,30236860.42568346,30928254.433343112,3897027.4071813263,-192786.06569598615,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,10,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,10,30,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,50007093.03944625,73323397.23910433,76059646.54756898,105245296.5627622,54648383.23910433,29823397.23910433,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,30,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16112688.743357576,19236073.063366223,19390229.397490922,22844443.74791379,8422641.063366223,426073.0633662231,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,30,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,162196323.02791125,229269296.79673108,242904600.52218014,340818143.4082186,187330999.23673108,113909127.29783031,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,30,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,14975392.370725058,29497341.434070386,29960535.30455752,31880163.15380017,3493898.2340703867,-595915.2388069257,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,30,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,10,60,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,57294299.620351225,78373557.57781354,81004756.41955054,107942051.20057233,59698543.577813536,34873557.577813536,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,60,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16553485.261645013,19030585.883359484,19163572.26016856,21959716.557765283,8217153.883359484,220585.88335948437,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,60,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,275173188.0889125,325951672.24024475,329536358.71466213,388721304.7430423,284013374.68024474,210591502.74134398,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,10,60,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,7670854.108332621,28734269.923036423,27321032.934174474,35392962.36439134,2730826.7230364233,-1358986.7498408891,현재 수량 그대로 보유,forecasted,True,latest_market_price,
